# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
嗜虐のドッペル	嗜虐的魔女化身
土葬のドッペル	土葬的魔女化身
垂涎のドッペル	垂涎的魔女化身
変温のドッペル	变温的魔女化身
夢見のドッペル	做梦的魔女化身
天誅のドッペル	天诛的魔女化身
奨励のドッペル	奖励的魔女化身
妖怪アルちゃんズ夜行	妖怪小阿鲁们夜行
安眠のドッペル	安眠的魔女化身
常夏のドッペル	常夏的魔女化身
強火ドッペル爆走炎舞	烈火魔女化身·爆走炎舞
恒久のドッペル	恒久的魔女化身
悪あがきのドッペル	挣扎的魔女化身
悪果のドッペル	恶果的魔女化身
愚直のドッペル	愚直的魔女化身
慈悲と沈黙のドッペル	慈悲与沉默的魔女化身
慕情のドッペル	慕情的魔女化身
懐疑のドッペル	怀疑的魔女化身
成り上がりのドッペル	新贵的魔女化身
折檻のドッペル	责罚的魔女化身
播種のドッペル	播种的魔女化身
支配のドッペル	支配的魔女化身
教化のドッペル	教化的魔女化身
敵全体にダメージ[Ⅷ] & HP回復(味全) & 状態異常解除(味全)	对敌方全体伤害[Ⅷ] & 回复HP(己全) & 状态异常解除(己全)
敵全体にダメージ[Ⅸ] & HP回復 & デバフ解除(味全)	对敌方全体伤害[Ⅸ] & 回复HP & 解除减益(己全)
敵全体にダメージ[Ⅸ] & HP自動回復 & 状態異常を3回無効(味全/3T) & 状態異常解除 & HP回復(味全) & 蘇生	对敌方全体伤害[Ⅸ] & 自动回复HP & 状态异常3回无效(己全/3T) & 状态异常解除 & 回复HP(己全) & 苏生
敵全体にダメージ[Ⅸ] & 必ず毒(敵全/3T) & 確率で暗闇・拘束・スキル不可(敵全/1T)	对敌方全体伤害[Ⅸ] & 必定毒(敌全/3T) & 概率黑暗、拘束、技能封印(敌全/1T)
敵全体にダメージ[Ⅸ] & 水属性ダメージカット状態 & ダメージカット状態(味全/3T) & HP自動回復(自/3T)	对敌方全体伤害[Ⅸ] & 水属性伤害削减 & 伤害削减(己全/3T) & 自动回复HP(自/3T)
敵全体にダメージ[Ⅸ] & 確率で拘束(敵全/1T) & バフ解除(敵全) & MP回復(自)	对敌方全体伤害[Ⅸ] & 概率拘束(敌全/1T) & 解除增益(敌全) & 回复MP(自)
敵全体にダメージ[Ⅹ] & 必ず魅了(敵全/1T) & Blast ダメージUP(味全/5T) & 必ずダメージカット無視(自/5T) & Blast攻撃時MP獲得(自/3T)	对敌方全体伤害[Ⅹ] & 必定魅惑(敌全/1T) & Blast伤害提升(己全/5T) & 必定无视伤害削减(自/5T) & Blast攻击时MP获得(自/3T)
敵全体に属性強化ダメージ[Ⅸ] & Blast攻撃時MP獲得(自/2T) & MP回復(自)	对敌方全体属性强化伤害[Ⅸ] & Blast攻击时MP获得(自/2T) & 回复MP(自)
敵全体に属性強化ダメージ[Ⅸ] & デバフ効果・状態異常を2回無効 & HP自動回復(味全/5T) & 状態異常解除(味全) & ヴァリアブル(自/3T) & 蘇生	对敌方全体属性强化伤害[Ⅸ] & 减益效果·状态异常2回无效 & 自动回复HP(己全/5T) & 状态异常解除(己全) & Variable(自/3T) & 苏生
敵全体に属性強化ダメージ[Ⅸ] & 必ず防御無視 & 必ずダメージカット無視 & 必ず回避(自/2T) & MP回復(自)	对敌方全体属性强化伤害[Ⅸ] & 必定无视防御 & 必定无视伤害削减 & 必定回避(自/2T) & 回复MP(自)
敵全体に属性強化ダメージ[Ⅸ] & 確率でスタン(敵全/1T) & HP自動回復(味全/3T)	对敌方全体属性强化伤害[Ⅸ] & 概率眩晕(敌全/1T) & 自动回复HP(己全/3T)
敵全体に属性強化ダメージ[Ⅹ] & MPダメージ(敵全) & 必ず回避(自/2T) & HP回復(自)	对敌方全体属性强化伤害[Ⅹ] & MP伤害(敌全) & 必定回避(自/2T) & 回复HP(自)
敵単体にダメージ[Ⅸ] & 必ずスタン(敵単/1T) & 必ずスキル不可・マギア不可(敵単/2T)	对敌方单体伤害[Ⅸ] & 必定眩晕(敌单/1T) & 必定技能封印、Magia封印(敌单/2T)
敵単体にダメージ[Ⅸ] & 必ず追撃 & 確率で防御無視(自/2T) & 必ず回避(自/1T)	对敌方单体伤害[Ⅸ] & 必定追击 & 概率无视防御(自/2T) & 必定回避(自/1T)
敵単体に属性強化ダメージ[Ⅸ] & サヴァイヴ(自/3T) & 必ずクリティカル(自/2T)	对敌方单体属性强化伤害[Ⅸ] & 幸存(自/3T) & 必定暴击(自/2T)
敵単体に属性強化ダメージ[Ⅸ] & バフ解除(敵単) & 必ず拘束(敵単/1T)	对敌方单体属性强化伤害[Ⅸ] & 解除增益(敌单) & 必定拘束(敌单/1T)
敵単体に属性強化ダメージ[Ⅹ] & 必ず呪い(敵単/3T) & 必ず拘束(敵単/1T) & MPダメージ(敵単)	对敌方单体属性强化伤害[Ⅹ] & 必定诅咒(敌单/3T) & 必定拘束(敌单/1T) & MP伤害(敌单)
暴力のドッペル	暴力的魔女化身
暴露のドッペル	暴露的魔女化身
正義のドッペル	正义的魔女化身
求愛のドッペル	求爱的魔女化身
決闘のドッペル	决斗的魔女化身
滑稽のドッペル	滑稽的魔女化身
焦心のドッペル	焦心的魔女化身
熱血のドッペル	热血的魔女化身
狂信のドッペル	狂信的魔女化身
環視のドッペル	环视的魔女化身
癇癪のドッペル	暴躁的魔女化身
発狂のドッペル	发狂的魔女化身
盲目のドッペル	盲目的魔女化身
矜持のドッペル	自豪的魔女化身
秋野かえでの「水散爆裂打球」	秋野枫的「水散爆裂击球」
突貫のドッペル	贯穿的魔女化身
約束を重ねた軌跡	重复的誓言之路
索漠のドッペル	索漠的魔女化身
絶対魅了マーメイドカレント	绝对魅惑·人鱼激流
絶筆のドッペル	绝笔的魔女化身
綻びのドッペル	绽线的魔女化身
緑化のドッペル	绿化的魔女化身
自然体のドッペル	悠然的魔女化身
苦界のドッペル	苦界的魔女化身
虚勢のドッペル	虚势的魔女化身
血盟の狂乱	血盟的狂乱
被虐のドッペル	被虐的魔女化身
誓約のドッペル	誓约的魔女化身
誘惑のドッペル	诱惑的魔女化身
諦念のドッペル	谛念的魔女化身
赤裸々のドッペル	赤裸裸的魔女化身
返報のドッペル	报应的魔女化身
迷子のドッペル	迷路的魔女化身
退屈のドッペル	厌倦的魔女化身
退行のドッペル	退化的魔女化身
逆転のドッペル	逆转的魔女化身
郷愁のドッペル	乡愁的魔女化身
鈍重のドッペル	迟钝的魔女化身
錬金のドッペル	炼金的魔女化身
開示のドッペル	开示的魔女化身
隔意のドッペル	隔阂的魔女化身
集客のドッペル	集客的魔女化身
集結の百環	集结的百环
離間のドッペル	离间的魔女化身
顕示のドッペル	显示的魔女化身
風刺のドッペル	讽刺的魔女化身
鼓舞のドッペル	鼓舞的魔女化身
｜海のお友だち大全集！｜	｜海的朋友大全集！｜
Aimi Eri	江利爱实
Akari Mai	真井灯
Akira Shinobu	志伸晶
Alexandra Kurusu	栗栖亚历山德拉
Alina Gray	阿莉娜·格雷
Amane Sisters	天音姐妹
Amane Sisters (Swimsuit)	天音姐妹
Amaryllis	阿玛琉莉丝
Ao Kasane	笠音青
Arisa Narumi	成见亚里纱
Asahi Miura	三浦旭
Ashley Taylor	阿什莉·泰勒
Asuka Tatsuki (Dragon God)	龙城明日香（新春龙神ver.）
Ayame Mikuri	三栗菖蒲
Chiharu Hiroe	广江千春
Chika Aoba	青叶知花
Chisato Nishikigi	锦木千束
Chisato Shion	诗音千里
Chizuru	千鹤
Corbeau	可鲁波
Devil Homura	恶魔焰
Devil Homura-chan	恶魔小焰
Ebony	埃博妮
Eternal Sakura (Swimsuit)	万年樱之谣（泳装ver.）
Fate	菲特
Felicia Mitsuki	深月菲莉希亚
Felicia-chan	小菲莉希亚
Gunhild	冈希尔德
Hagumu Azumi	安积育梦
Hanna Sarasa	更纱帆奈
Haruka Kanade	奏遥香
Hayate Yagami	八神疾风
Hazuki Yusa	游佐叶月
Heruka	赫露迦
Hikaru Kirari	煌里光
Himena Aika	蓝家姬奈
Himika Mao	真尾日美香
Hinano Miyako	都雏乃
Hitagi Senjougahara	战场原黑仪
Holy Alina	圣阿莉娜
Holy Mami (Anime)	圣麻美（动画ver.）
Homura Akemi (Glasses)	晓美焰
Homura Akemi (Kimono)	晓美焰（晴着ver.）
Homura Akemi (Swimsuit)	晓美焰
Homura Akemi (scene0)	晓美焰（scene0 ver.）
Hotaru Yura	由良萤
Hotori Yuzuki	柚希步鸟
Ikumi Makino	牧野郁美
Iroha & Yachiyo	彩羽·八千代
Iroha & Yachiyo (Final Battle)	彩羽·八千代
Iroha Tamaki (Anime)	环伊吕波（动画ver.）
Iroha Tamaki (Swimsuit)	环彩羽
Iroha-chan	小彩羽
Isabeau (Witch)	伊莎贝拉（魔女ver.）
Jun Kazari	饰利润
Juri Oba	大庭树里
Kaede Akino	秋野枫
Kagome Satori (Demon Parade)	佐鸟笼目（百鬼夜行ver.）
Kako Natsume	夏目佳子
Kanae Yukino	雪野加奈惠
Kanagi Izumi (Eternal Darkness)	和泉十七夜（常暗ver.）
Kanagi Izumi (Vampire)	和泉十七夜（吸血鬼ver.）
Kanoko Yayoi	矢宵鹿乃子
Kaoru Maki	牧薰
Karin Misono	御园花凛
Kazumi	和美
Kazumi Subaru	昴和美
Kirika Kure	吴纪里香
Kokoro Awane	粟根心
Konoha & Hazuki	木叶·叶月
Konoha Shizumi	静海木叶
Konomi Haruna	春名木乃美
Kuroe (Swimsuit)	黑江（泳装ver.）
Kushu Irina	入名库什
Kyoko Sakura (Doppel)	佐仓杏子（魔女化身ver.）
Kyoko Sakura (Swimsuit)	佐仓杏子
Kyoko Sakura (scene0)	佐仓杏子（scene0 ver.）
Kyubert	小丘比
Lapin	拉皮努
Leila & Seika	丽良·清佳
Leila Ibuki	伊吹丽良
Mabayu Aki	爱生眩
Madoka Kaname (Kimono)	鹿目圆
Madoka Kaname (Swimsuit)	鹿目圆（泳装ver.）
Madoka Kaname (scene0)	鹿目圆（scene0 ver.）
Madoka-senpai	小圆前辈
Mami Tomoe (Swimsuit)	巴麻美（泳装ver.）
Mami Tomoe (scene0)	巴麻美（scene0 ver.）
Manaka Kurumi	胡桃爱香
Maria Yuki	由贵真里爱
Masara Kagami	加贺见真良
Matsuri Hinata	日向茉莉
Mayoi Hachikuji	八九寺真宵
Mayu Kozue	梢麻友
Meguru Hibiki	枇枇木巡
Meiyui Chun	纯美雨
Mel Anna	安名梅露
Melissa	梅丽莎
Mifuyu Azusa (Fairy Tale)	梓美冬（童话ver.）
Mikage Yakumo	八云御影
Mikoto Sena	濑奈命
Mikura Komachi	古町美仓
Minou	米诺
Mitama Yakumo (Eternal Darkness)	八云御魂（常暗ver.）
Mitama Yakumo (Kimono)	八云御魂
Mito Aino	相野未都
Mitsune Miwa	三轮光音
Miyuri Yukari	游狩美由利
Moka Megumi	惠萌花
Momoko Togame (Sister)	十咎桃子（修女ver.）
Nadeko Sengoku	千石抚子
Nagisa Momoe (Swimsuit)	百江渚（泳装ver.）
Nagisa Momoe (Valentine)	百江渚（情人节ver.）
Nanaka Tokiwa	常盘七香
Natsuki Utsuho	空穗夏希
Nayuta Satomi	里见那由他
Nemu Hiiragi	柊音梦
Olga	奥尔加
Oriko Mikuni (Final)	美国织莉子（ver.Final）
Pernelle	佩尔内勒
Rabi Himuro (Kimochi)	冰室拉比（心魔ver.）
Ranka Chizu	智珠兰华
Ren Isuzu	五十铃怜
Rena Minami (Anime)	水波玲奈（动画ver.）
Rika & Ren (Christmas)	梨花·怜（圣诞ver.）
Riko Chiaki	千秋理子
Rion Yuzuki	柚希理音
Riz	莉兹
Rui Mizuki	水树垒
Ryo Midori	观鸟令
Ryoko Natsu	南津凉子
Sae Kirino	桐野纱枝
Sakuya Suzuka	铃鹿朔夜
San Kagura	神乐灿
Sana Futaba	二叶莎奈
Sasara Minagi	美凪纱纱罗
Sayaka Miki (Kimono)	美树沙耶香（晴着ver.）
Sayaka Miki (Surfing)	美树沙耶香（冲浪ver.）
Sayaka Miki (scene0)	美树沙耶香（scene0 ver.）
Sayuki Fumino	史乃沙优希
Seika Kumi	桑水清佳
Seira Mihono	三穗野星罗
Shi	思
Shigure Miyabi	宫尾时雨
Shinobu Oshino	忍野忍
Shizuka Tokime (First Sunrise)	时女静香（元旦日出ver.）
Shizuku Hozumi	保澄雫
Sudachi Sawa (Valentine)	佐和月出里（情人节ver.）
Sunao Toki	土岐沙绪
Takina Inoue	井之上泷奈
Tart (Final)	塔鲁特（ver.Final）
Temari Kira	吉良手鞠
Touka Satomi	里见灯花
Toyo	台与
Tsubasa Hanekawa	羽川翼
Tsukasa Amane	天音月咲
Tsukuyo Amane	天音月夜
Tsumugi Wakana	若菜纺
Tsuruno Yui	由比鹤乃
Tsuyu Mizuna	水名露
Ui Tamaki	环忧
Ultimate Madoka	圆神
Ultimate Madoka-senpai	究极小圆前辈
Umika Misaki	御崎海香
Urara Yume	有爱丽
Uwasa Mikoto	谣命
Uwasa Tsuruno (Anime)	谣鹤乃（动画ver.）
Yachiyo Nanami (Anime)	七海八千代（动画ver.）
Yachiyo Nanami (Fairy Tale)	七海八千代（童话ver.）
Yachiyo Nanami (Historia)	七海八千代（历史ver.）
Yachiyo Nanami (Tanabata)	七海八千代（七夕ver.）
Yozuru Sasame	篠目夜鹤
Yu	夕
Yukika Nanase	七濑幸佳
Yuma Chitose	千岁由麻
Yuna Kureha	红晴结菜
Yuuna Kaharu	香春优奈
いろはちゃん	小彩羽
いろは・やちよ	彩羽·八千代
かずみ	和美
アリナ・グレイ	阿莉娜·格雷
アルティメットまどか	圆神
ウワサの鶴乃	传闻鹤乃
タルト	塔鲁特
フェイト	菲特
ホーリーマミ	圣麻美
メリッサ	梅丽莎
リズ	莉兹
七海 やちよ	七海八千代
七海　やちよ	鹿目圆
三栗 あやめ	三栗菖蒲
二葉 さな	二叶莎奈
五十鈴 れん	五十铃怜
伊吹 れいら	伊吹丽良
八神 はやて	八神疾风
八雲 みたま	八云御魂
加賀見 まさら	加贺见真良
十咎 ももこ	十咎桃子
千歳 ゆま	千岁由麻
呉 キリカ	吴纪里香
夏目 かこ	夏目佳子
安名 メル	安名梅露
安積 はぐむ	安积育梦
巴 マミ	巴麻美
常盤 ななか	常盘七香
御園 かりん	御园花凛
志伸 あきら	志伸晶
戦場ヶ原 ひたぎ	战场原黑仪
春名 このみ	春名木乃美
暁美 ほむら	晓美焰
暁美 ほむら 水着ver.	晓美焰
暁美 ほむら 眼鏡ver.	晓美焰
枇々木 めぐる	枇枇木巡
桑水 せいか	桑水清佳
梓 みふゆ	梓美冬
毬子 あやか	毬子亚弥华
水波 レナ	水波玲奈
江利 あいみ	江利爱实
深月 フェリシア	深月菲莉希亚
煌里 ひかる	煌里光
牧 カオル	牧薰
環 いろは 水着ver.	环彩羽
環 うい	环忧
環　いろは	环彩羽
百江 なぎさ バレンタインver.	百江渚（情人节ver.）
相野 みと	相野未都
眞尾 ひみか	真尾日美香
矢宵 かのこ	矢宵鹿乃子
秋野 かえで	秋野枫
篠目 ヨヅル	篠目夜鹤
粟根 こころ	粟根心
美凪 ささら	美凪纱纱罗
美樹 さやか	美树沙耶香
胡桃 まなか	胡桃爱香
都 ひなの	都雏乃
鈴鹿 さくや	铃鹿朔夜
雪野 かなえ	雪野加奈惠
静海 このは	静海木叶
鹿目 まどか	鹿目圆
鹿目 まどか 晴着ver.	鹿目圆
D-did we work a little harder...?!	也、也算稍微努力了一下吧……！？
We did it, Aru! We really won!	成功了，阿露！@我们真的赢了！
I have to catalogue this, too... Lest it go unnoticed...	这件事也得记录下来……@作为一件无人察觉的事情……
Feels like it's been burnt to a crisp.	感觉已经烧得焦透了。
Juri the Great ain't fired up just yet.	树里大人我还远远没燃够呢。
How do you feel about getting served well-done?	被烤得全熟，感觉如何？
Don't underestimate me just because I'm from the countryside.	别因为我来自乡下就小看我。
Mother, the Tokime Unified Style technique shines through!	母亲大人，时女一心流的技法大放异彩！
This all amounts to much benefit for the people.	这些积累都会造福人们。
Eh, over already? Guess we're on totally different levels.	诶，已经结束了？看来根本不是一个级别嘛。
Only this cutie and Hiko can win!	最强的只有人家和彦君！
Maybe we'll get to the top soon! Kyaha!★	说不定很快就能登顶了！@呀哈！★
It's only natural to remove the hindrances.	排除危害是理所当然的。
Whoever still dares to resist, step forward.	还有谁胆敢反抗，就站出来。
With this, I've moved another step towards our ideal.	这样一来，我又朝理想迈进了一步。
This is why I'm Lady San's secret weapon!	美由可是灿大人的秘密武器！
*Gasp!* Did I win?!	……哈！美由成功了吗！？
Lady San, Lady San! I did it!	灿大人，灿大人！我们成功了呢！
It's okay. We all end up in the same place.	没关系。我们最后都会抵达同一个地方。
Even victory is meaningless to Magical Girls.	即使获得胜利，@对魔法少女而言也毫无意义。
At the very least, I hope you didn't suffer.	至少，希望你没有受苦。
These ordinary days are all the same in the end.	无论何时结束，都是一样的。
I hope that I was able to send you off without suffering.	如果能让你毫无痛苦地离去，@那就太好了。
Do not underestimate my hunting skills.	可别小看@我的狩猎本领。
See, I actually can fight!	看吧，我其实也会战斗！
That was dangerous... I barely made it...!	好危险……勉强撑过来了……！
I'll save Papa along with everyone!	我要救出爸爸和大家！
This is all thanks to Sis for the adjustment!	这都多亏姐姐@帮我调整！
If I'm light on my feet, I can't lose!	论身手轻快，我可不会输！
I've been a bit of a bad girl!	我稍微当了一回坏孩子！
You're lucky to have died and faded away.	毁灭、消失才会更幸福。
I haven't shown you enough.	我还没让你看够呢。
*Giggle* That's right...let it all perish.	呵呵……没错，让一切都毁灭吧。
Hehe, this is the skill of the Taito Gang!	嘿嘿，这就是泰党的本事！
Alright, let's go spread around what we've scored!	好！@去把到手的东西分给大家吧！
Once we win, let's have a feast with everyone!	既然赢了，就和大家一起大吃一顿吧！
Phew... Looks like the kitty wasn't hurt...	呼……小猫好像没有受伤……
If we're talking Grief Seeds, I've got some to spare.	悲叹之种的话，我还留有一些。
Not too long ago, I would've lost...	换作不久前的我，应该会输吧……
Phew... Looks like we won.	呼……看来我们赢了。
Yep, an easy sweep!	嗯，大获全胜，大获全胜！
I'll win again next time, too!	下次我也会赢！
>*Sigh*~ It's finally over...	呼～……终于结束了……
>Mission accomplished. Good work today.	任务完成，辛苦了。
>It's great we won...! Right, Yagi-san...!?	能赢真是太好了……！@对吧，八木先生……！
I shall absolve your sins! ...How was that?	就赦免你吧……开玩笑的。
Do you think this is a good tombstone?	你觉得这块墓碑如何？
Rest in peace!	安息吧！
Emerging victorious is only a matter of course for the Pumpking!	南瓜王获胜本就是理所当然！
The battle is over already? That wasn't nearly enough for me.	已经End了？还不够尽兴的说。
"We did it, Alina-senpai!" "...Phew, we're finally done here."	『成功了的说！阿莉娜前辈！』@「……哈，终于End了」
The moon is beautiful.	今晚月色真美。
Now loser, show me your neck!	好了，败者，把脖子伸出来！
I think we have enough coffins.	棺材应该够用了。
Now everyone can rest in peace.	这样大家就能安息了。
You should be happier this way than getting your hopes up...	比起抱着不切实际的希望，这样应该更幸福……
Give up and the pain will stop.	放弃吧，痛苦就会停止。
Look, now it's beautiful.	看，现在变漂亮了。
How was it? I was helpful, wasn't I?	怎么样？我帮上忙了吧？
Snow hides dirty things...	雪会掩盖肮脏的东西……
Oh?! I guess I actually won?	哇……！？好像莫名其妙就赢了……？
It takes a licking, and I'm not gonna lick it!	别小看玲奈的控制力。
"It's O-V-E-R~!" "That’s a wrap~! "	『结——束——啦～！』@「辛苦啦～！」
Beyond destruction lies true equality.	破坏之后才是真正的平等。
Use your resentment to bring us down.	用你们的怨恨来打倒我们吧。
With this, you shall be further united with your fellows.	多和同伴融为一体吧。
It seems there's no one left standing anymore.	看来已经没人站着了。
There is no outrunning my wish for destruction.	谁也逃不过我渴求破坏的愿望。
I won't turn back. I'll keep on moving forward.	我不会回头。我会继续前进。
I'll never abandon anyone by choice...! Never again!	因为我已经不想再@选择抛下任何人了……
"We did it, Kuroe!" "It's all thanks to you, Miss Tamaki."	“成功了，黑江！”“这都多亏环小姐。”
The bad future is gone.	糟糕的未来已经消失了。
Good, it played out exactly as I saw.	很好，一切都和我看到的一样。
It was clear that we would win.	胜利早已显而易见。
I won't lose in a contest of endurance.	比耐力的话，我不会输。
I'm modifying the system so you can never defy me again.	为了让你再也无法违抗我，@我已经改写了系统。
I too want a personal assistant.	我也想要一个跟班呢。
I hope you don't take this the wrong way.	希望你别怪我。
We should at least pretend to be friendly in our day-to-day lives.	至少平时要好好相处哦。
...Can we try this again?	……再来一次也可以哦？
What a beautiful night sky.	今晚的星空真美。
Shall we have some iced tea?	来一杯冰红茶吗？
So, was I able to make things a bit more summery?	怎么样，有没有更有夏日气息一点？
Yeah, not bad, right?	嗯，还不错吧？
That was a good move. How about it? You want some?	刚才那招不错。@怎么样？想吃这个吗？
I don't have any more time to waste on this.	我可没空再@陪你耗下去了。
I'm so exhausted... Don't wake me up, alright...?	累死了……别叫醒我，好吗……？
*Mumble mumble*... *Snooze*...	唔唔……呼呼……
I'm glad nobody is hurt... Time to sleep...	没事就好……我要睡啦……
Cheapo is the way to go!	便宜才是王道！
The change's a million yen!	找您一百万円！
If you wanna thank me, tell that to the candy.	想道谢的话，就对糖果说吧。
Good, it looks like I helped everyone out!	太好了，看来大家都平安！
I guess this gives me a little pep in my step!	这样我也能稍微挺起胸膛了吧！
With this accumulation, I will surely change, right...?	这样一点点积累下去，@一定能让我改变吧……
This is a victory I won for everybody.	这是大家共同赢得的胜利。
Did it end without suffering?	不知道有没有让你毫无痛苦地结束。
Are you alright? You're not hurt, right?	你没事吧？没有受伤吧？
*ZzZzZ*...?! What happened to the enemy? Is the battle over already...?	呼…………哈？敌人呢？@战斗已经结束了……？？
The purge is over... Shutting down...	肃清结束……@我也…………关机……
...Good night.	……晚安。
I hope we managed to keep everyone's happiness safe.	希望我们守住了大家的幸福。
Being hurt is unpleasant but nothing else.	受伤只会让人不快，仅此而已。
"Kokoro, I trust you're okay?" "Yeah. We won this together!"	『心，你没事吧？』@「嗯，这是我们共同赢得的胜利！」
I can't go back anymore, 'cause there's nothing left.	既然全都没了，我就回去喽。
If you're in a pinch, why don't I lend you a hand?	遇到麻烦的话，要不要我帮你一把？
Alright, I've gotta get to the next one.	好，我得赶去下一个地方。
That's enought for now.	暂且就这样吧。
This is hardly worth calling "pain".	这点程度还称不上“痛苦”。
This isn't the end...	这还不是结束……
Let's stop this meaningless fight.	停止这场毫无意义的战斗吧。
Just as planned, victory was achieved.	和计算的一样，顺利获胜了。
Let's go home, Kirika.	回去吧，桐香。
Was anyone injured?	没有受伤吧？
I've decided... I won't give up here...	我已经决定了……不会在这里放弃……
I will...keep moving forward. Because that's all I can do.	我会……继续前进。因为我能做的只有这些。
It seems my protection wasn't able to destroy the enemy.	看来你没能@突破我的防御呢。
Aha... I suppose a slight adjustment is necessary?	哎呀呀……@是不是该稍微手下留情呢？
For this... I wonder if I didn't need to use a catalyst?	这个……能不能拿来当触媒呢？
The pleasures... of death...	死亡的……愉悦……
I want... everything you possess...	我想要……你拥有的一切……
Anything you desire... anything you want...	无论怎样的欲望……都能随心所欲……
...Oh? Over already, is it?	……哎呀？@已经结束了吗？
I suppose that was enough to keep my interest.	这点程度，勉强还能让我保持兴趣。
Hehehe, you were a good child.	呵呵呵，你是个好孩子。
\#私も一緒、私が一緒	#我也在一起，由我陪在一起
36度に包まれれば	若被36度包裹
Kyubertの試練	小丘比的试炼
“お姉ちゃん”を求めて	追寻“姐姐”
“乙女”の見た夢	“少女”所见之梦
…あら？シロップが足りないわ	……哎呀？糖浆不够了
∞いろはのドッペル	∞彩羽的魔女化身
あいみのドッペル	爱美的魔女化身
あかりのドッペル	真井灯的魔女化身
あきらのドッペル	志伸晶的魔女化身
あすなろアラカルト	翌桧风味拼盘
あたしが選んであげる！	由我来替你选！
あたしは知ってる	我知道
あなたの視線を一人占め	独占你的视线
あのころの追憶	对往昔的追忆
あの人に憧れて	憧憬着那个人
あの日、迷いの中	那一天，身处迷惘之中
あの日の約束	那一天的约定
あやかのドッペル	彩花的魔女化身
あやめのドッペル	菖蒲的魔女化身
あやめ断ち敢行	执行戒除菖蒲计划
いざ喧騒の中へ	奔赴喧嚣之中
いざ本家神浜観光へ	出发，前往本家神滨观光
いつか、再び灯るように	愿有朝一日再度点亮
いつか、許せるように	愿有朝一日能够原谅
いつかまた会えたなら	有朝一日若能再会
いつか見た夢を	将曾经见过的梦
いつまでも未完成	永远尚未完成
いつもとは違う夏休み	不同以往的暑假
いつもと少し違う夜	与往常略有不同的夜晚
いつわりと救い	虚假与救赎
いろいろな怖い話	各种各样的恐怖故事
いろはとういの試練	彩羽与忧的试炼
いろはと黒江の試練	彩羽与黑江的试炼
いろはのドッペル	彩羽的魔女化身
ういの観察日記	忧的观察日记
うたた心に弄ばれて	被浮躁之心摆弄
うららのドッペル	有爱丽的魔女化身
おどかしてやるぞ！	我要吓你一跳！
お兄さんが好きになった人	哥哥喜欢上的人
お友だちを作ろう	来交朋友吧
お家は最強の砦	家是最强堡垒
お正月の忘れ物	新年遗失之物
お節介な３人の少女	爱管闲事的三位少女
かくて役者は集う	于是演员们齐聚
かけがえのない魂	无可替代的灵魂
かごめのドッペル	笼目的魔女化身
かごめの百怪波瀾	笼目的百怪波澜
かつて望んだ滅び	曾经渴望的毁灭
かのこのドッペル	矢宵鹿乃子的魔女化身
かりんとアリナの試練	花凛与阿莉娜的试炼
きっと馴染めない夏休み	一定无法融入的暑假
きらきら	闪闪发亮
きれいになる見込み	有望恢复洁净
くみは海でもメイドさん	久美在海边也是女仆
くるみ割りの魔女	胡桃夹子之魔女
ぐーたらだらだら…	懒懒散散……
このはと葉月のドッペル	木叶与叶月的魔女化身
このみのドッペル	木乃美的魔女化身
このみの日課	木乃美的日常功课
この夏一番の怖い話	今夏最恐怖的故事
この道を究めるため！	为了穷尽此道！
これからも続く記録	今后仍会延续的记录
これぞ本家の底力	这才是本家的底力
これは反省した姿	这是反省后的模样
これまでから明日へと	从一路走来的过去迈向明天
ご神木を守りし祖霊の姫	守护神木的祖灵公主
ささらのドッペル	纱纱罗的魔女化身
さやかのドッペル	沙耶香的魔女化身
さやかの試練	沙耶香的试炼
さよなら、かつてのわたし	再见，曾经的我
しっかり者のお姉さん	可靠的姐姐
すなおのドッペル	土岐沙绪的魔女化身
すべては母のために	一切都是为了母亲
すべてを生かす言葉	让一切得以存续的话语
すれ違う血脈	错身而过的血缘
すれ違った過去	错身而过的过去
ずっとこの先も	从今往后也永远如此
せいかのドッペル	清佳的魔女化身
そして、正気に戻る	然后恢复理智
そのチョコを置いていくのです	请把那块巧克力放下
それぞれの楽しいクリスマス	各自快乐的圣诞节
それなら奇跡を見せて	既然如此，就让我看看奇迹
それは、私たちの絆	那就是我们的羁绊
それは、青天の霹靂	那是晴天霹雳
たきなの試練	泷奈的试炼
ただの血筋	不过是血脉
たったひとつの側面	唯一的一面
たまにはふたりで	偶尔也要两个人独处
ため息は白くモヤモヤ	叹息化作白雾，心绪朦胧
ちぐはぐコラボレーション	错位的合作
ついえた未来の形	破灭的未来形态
つかんだ意思を手繰る	循着已握住的意志
つながった瞬間	相连的瞬间
つながる絆	相连的羁绊
つむぎのドッペル	纺希的魔女化身
できることをやってみる	试着做力所能及的事
とある実験の記録	某项实验记录
とっておきの作戦	压箱底的作战
どこでだってあなたとなら	无论在哪里，只要与你一起
どちらの私も…	无论哪一个我……
なぎさのドッペル	渚的魔女化身
なのはの試練	奈叶的试炼
のこしたい物語	想要留下的故事
はいから鬼才少女	新潮的鬼才少女
はぐむのドッペル	育梦的魔女化身
はじめての水着	第一次穿泳装
はやてちゃんがいっぱい	好多疾风
はやてちゃんの手料理	疾风的亲手料理
はやてちゃんの答え	疾风的答案
はやての試練	疾风的试炼
