review_index	original_text	final_cn	expected_occurrences	classification	risk	source_tier	source_path	translation_note
87	时女一族編 5話	时女一族篇 5话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-26话/title	Wiki对应主线章节标题
88	时女一族編 6話	时女一族篇 6话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-27话/title	Wiki对应主线章节标题
89	时女一族編 7話	时女一族篇 7话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-28话/title	Wiki对应主线章节标题
90	时女一族編 8話	时女一族篇 8话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-29话/title	Wiki对应主线章节标题
91	时女一族編 9話	时女一族篇 9话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-30话/title	Wiki对应主线章节标题
92	时女拾遺物語	时女拾遗物语	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/590/title	仅替换Wiki已确认的名称或用词组件
93	桜前線急上昇	樱花前线急速上升	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/桜前線急上昇/name_ja;/桜前線急上昇/name_zh	Wiki日中显式对应
94	橋	桥	3	A	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/天馬駆ける/desc_ja;/天馬駆ける/desc_zh	Wiki日中说明明确采用“橋→桥”
95	水場	戏水处	4	B	medium	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/itemList.json/EVENT_DAILYTOWER_1056_STICKER_110100/shortDescription;/itemList.json/EVENT_DAILYTOWER_1056_STICKER_230000/shortDescription	官方国服同类魔法少女贴纸的出没场所字段
96	水鉄砲	水枪	2	B	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/にぎやかな潮騒/effect_ja;/にぎやかな潮騒/effect	Wiki日中显式对应
97	永遠的刻	永远之刻	1	C	high	3_manual_translation	人工语义翻译；指定 dump/Wiki 未提供中文定名	无权威中文命中，列入高优先级人工复核
98	汤国市駅	汤国市车站	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2009:/wikitext/中日对照	Wiki中日对照明确采用“駅→车站”；既有中文地名保持不变
99	海香的觉醒書	海香的觉醒书	1	A	medium	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/giftList.json/602/name	官方国服直接值
100	準備完了	准备完毕	1	B	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
101	状态異常耐性DOWN[Ⅱ](敌単/3T)	状态异常耐性DOWN[Ⅱ](敌单/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/重すぎる代償/effect_ja;/重すぎる代償/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
102	状态異常耐性DOWN[Ⅲ](敌単/3T)	状态异常耐性DOWN[Ⅲ](敌单/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/重すぎる代償/effect_max_ja;/重すぎる代償/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
103	状态異常耐性DOWN[Ⅶ] & 防御力降低[Ⅷ](敌全/1T)	状态异常耐性DOWN[Ⅶ] & 防御力DOWN[Ⅷ](敌全/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/無心になりたくて/effect_ja;/無心になりたくて/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
104	状态異常耐性DOWN[Ⅷ] & 防御力降低[Ⅸ](敌全/1T)	状态异常耐性DOWN[Ⅷ] & 防御力DOWN[Ⅸ](敌全/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/無心になりたくて/effect_max_ja;/無心になりたくて/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
105	状态異常耐性UP[Ⅲ](我方全体/1T)	状态异常耐性UP[Ⅲ](己全/1T)	2	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/穏やかに日々を紡いで/effect_ja;/穏やかに日々を紡いで/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
106	状态異常耐性UP[Ⅳ](我方全体/3T)	状态异常耐性UP[Ⅳ](己全/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/真夏の夜の魔法/effect_ja;/真夏の夜の魔法/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
107	状态異常耐性UP[Ⅴ](我方全体/3T)	状态异常耐性UP[Ⅴ](己全/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/真夏の夜の魔法/effect_max_ja;/真夏の夜の魔法/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
108	現代神滨篇	现代神滨篇	1	A	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/5668/title	Wiki日中显式对应
109	現代神滨編	现代神滨篇	7	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/5668/title	Wiki日中显式对应
110	神原 駿河	神原骏河	4	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/40434/cardName	官方国服直接值
111	神滨大運動会	神滨大运动会	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/796/title;/6678/headings/27/text	仅替换Wiki已确认的名称或用词组件
112	神滨市営霊园	神滨市营陵园	2	C	high	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
113	私服(日本語)	私服(翻译装置)	1	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1247:/wikitext/角色语音/tabber/魔法少女/私服(翻译装置)	Wiki同一角色页的语音服装分组采用“私服(翻译装置)”
114	究極VS至高	究极VS至高	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/究極vs至高/name_ja;/究極vs至高/name_zh	Wiki日中显式对应
115	窮地級	穷地级	1	B	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2175:/wikitext/玩法	Wiki页面在同一句中显式标注中文“穷地级”和日文“窮地級”
116	第2部登場★4魔法少女必得扭蛋券	第2部登场★4保底魔法少女扭蛋券	1	A	medium	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/itemList.json/SPECIAL_GACHA_494_TICKET/description	取自同一票券记录的官方国服说明
117	篠目约鹤的“记忆”	篠目夜鹤的“记忆”	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	仅替换官方国服已确认的名称或用词组件
118	粛清天使	肃清天使	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\templates.jsonl.gz#jsonl:1567:/wikitext/magia日文;jsonl:1567:/wikitext/magia中文	Wiki角色数据模板的Magia日中显式字段
119	純 美雨	纯美雨	3	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3012/name	官方国服直接值
120	綾野 梨花	绫野梨花	3	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3031/name	官方国服直接值
121	緑地公园	绿地公园	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/朝焼けに発つ/desc_ja;/朝焼けに発つ/desc_zh	Wiki日中说明明确采用“緑→绿”；既有“地公园”保持不变
122	绝望級	绝望级	1	A	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/809/headings/6/text	仅替换Wiki已确认的名称或用词组件
123	背景「七色夏模様」	背景「七彩夏日绘」	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
124	背景「时女拾遺物語」	背景「时女拾遗物语」	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/590/title	仅替换Wiki已确认的名称或用词组件
125	背景「神滨大運動会」	背景「神滨大运动会」	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/796/title;/6678/headings/27/text	仅替换Wiki已确认的名称或用词组件
126	自选★4必得扭蛋券内含特別套装。※具体内容请查看公告	自选★4必得扭蛋券内含特别套装。※具体内容请查看公告	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
127	自选★4记忆结晶兑换券内含特別套装。※具体内容请查看公告	自选★4记忆结晶兑换券内含特别套装。※具体内容请查看公告	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
128	自选期间限定★4必得扭蛋券内含特別套装。※具体内容请查看公告	自选期间限定★4必得扭蛋券内含特别套装。※具体内容请查看公告	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
129	裏方独演会	后台个人演出	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/裏方独演会/name_ja;/裏方独演会/name_zh	Wiki日中显式对应
130	詩音 千里	诗音千里	1	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/4034/name	官方国服直接值
131	調整屋	调整屋	5	A	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第3章-5话/lines/5/text	仅替换Wiki已确认的名称或用词组件
132	調整屋硬币	调整专家币	425	A	high	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/itemList.json/GACHA_FREEBIE_343_MEDAL/name	同一GACHA_FREEBIE记录的官方国服名称
133	謹賀新年★4魔法少女兑换券	谨贺新年★4魔法少女兑换券	6	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/兎にも角にも謹賀新年/name_ja;/兎にも角にも謹賀新年/name_zh	仅替换Wiki已确认的名称或用词组件
134	记忆结晶「引縄批根」（等级已满/已达最大界限突破）	记忆结晶「引绳批根」（等级已满/已达最大界限突破）	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/引縄批根/name_ja;/引縄批根/name_zh	仅替换Wiki已确认的名称或用词组件
135	路地裏	小巷	1	B	medium	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/pieceList.json/1125/pieceName;/pieceList.json/1125/description	官方国服记忆结晶名称和说明采用“小巷”
136	通关主线第1部第2章第5話	通关主线第1部第2章第5话	1	A	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2章-5话/title	仅替换Wiki已确认的名称或用词组件
137	遊佐 葉月	游佐叶月	3	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3027/name	官方国服直接值
138	銀幕衣装	银幕服装	2	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:925:/wikitext/商店/忘却之圆舞曲1部	Wiki活动商店对目标两名角色的该服装统一采用“银幕服装”
139	防御力提升[Ⅳ] & 状态異常耐性UP[Ⅳ](自身/3T)	防御力UP[Ⅳ] & 状态异常耐性UP[Ⅳ](自/3T)	2	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/ありあまるユーフォリア/effect_ja;/ありあまるユーフォリア/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
140	防御力降低[Ⅵ](敌全/1T) & 状态異常耐性UP[Ⅴ](自身/1T)	防御力DOWN[Ⅵ](敌全/1T) & 状态异常耐性UP[Ⅴ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/予鈴で目を覚ます/effect_ja;/予鈴で目を覚ます/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
141	防御力降低[Ⅶ](敌全/1T) & 状态異常耐性UP[Ⅵ](自身/1T)	防御力DOWN[Ⅶ](敌全/1T) & 状态异常耐性UP[Ⅵ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/予鈴で目を覚ます/effect_max_ja;/予鈴で目を覚ます/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
142	霧峰村	雾峰村	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第1章-2话/lines/723/text	仅替换Wiki已确认的名称或用词组件
143	霧峰村、神滨市	雾峰村、神滨市	3	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第1章-2话/lines/723/text	仅替换Wiki已确认的名称或用词组件
144	飾利 潤	饰利润	4	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/饰利润/nameJa;/饰利润/nameZh	Wiki日中显式对应
145	飾利潤	饰利润	3	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/饰利润/nameJa;/饰利润/nameZh	Wiki日中显式对应
146	魔法少女(日本語)	魔法少女(翻译装置)	2	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1247:/wikitext/角色语音/tabber/魔法少女/私服(翻译装置);jsonl:1247:/wikitext/服装编号02	Wiki在佐和月出里角色页将同一02号语音服装标为“翻译装置”
147	魔法少女(葉月)	魔法少女(叶月)	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3027/name	仅替换官方国服已确认的名称或用词组件
148	魔法少女精选兑换券内含特別套装。详情可通过按钮查看。	魔法少女精选兑换券内含特别套装。详情可通过按钮查看。	2	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
