sequence	file	key	field	before	after	method	score	match_ratio	evidence	source_ja	release_source
1118	doppelList.json	103000	name	虚张声势的魔女化身	虚势的魔女化身	wiki_doppel_keyed	99	1.0	doppel.json charaId=1030 name_zh	虚勢のドッペル	wiki_authority
1119	doppelList.json	103000	title	其姿态为双面	其姿态为双面衣	wiki_doppel_keyed	99	1.0	doppel.json charaId=1030 form_zh	その姿は、リバーシブル	wiki_authority
1120	doppelList.json	103100	description	这份感情的主人绝不允许养育自己的事物发生改变。＠回应这种心情，魔女化身能捕捉周围最细微的变化，连路边石子的移动或针落地般轻微的声响都不会漏过。若变化来自自然现象，它会静静修整并恢复原状；若是有人故意造成，它则绝不宽恕。它会放出附属面具进行追踪，必定捕获并惩罚对方。它不擅长应付弓箭等远程攻击，而主人自己却使用飞行道具，因此对此心情复杂。	这份感情的主人决不承认养育自己的事物的变化。＠为了迎合主人的心情，这只Doppel发挥了能注意到路旁石块的动作和针掉落般的细小声音的能力。如果是自然现象引起的变化的话，可以安静地保养恢复原状，但如果是有人故意为之，它绝不会允许。放任附带的面具追踪，一定会抓住对方并给予惩罚。它不擅长被弓箭等攻击，但主人自己也使用飞行道具，心情很复杂。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1031 description_zh	この感情の主は自らを育んだものの変化を決して認めない。\n\nそんな主の心情に呼応して、このドッペルは周辺のつぶさな変化をキャッチするために、道ばたにある石ころの動きや針が落ちるような小さな音にも気付くことができる能力を発揮している。自然現象で起きた変化であれば、静かに手入れをして元に戻すが、誰かが意図的に行ったことであれば決して許さない。付属している面を放って追跡すると、必ず相手を捕捉して罰を与える。弓矢などで攻撃されるのが苦手で、主は自身が飛び道具を使うので複雑な気持ちらしい。	wiki_authority
1121	doppelList.json	103100	title	其姿态为安保系统	其姿态为保安系统	wiki_doppel_keyed	99	1.0	doppel.json charaId=1031 form_zh	その姿は、セキュリティシステム	wiki_authority
1122	doppelList.json	103200	description	这份感情的主人被周围生出的无数双脚挤压得呆立不动。不过她本人似乎并不讨厌，反倒像是幸福过头而失神。另一方面，魔女化身一直在寻找适合自己的脚，却始终找不到，只能把准备废弃的脚不断塞进体内。即便如此，它也没有放弃遇见命定之脚，因此常因不甘而大发脾气，跳到高空再坠落，以重踏地面来释放压力。似乎跳得越高，越能消解压力。	这份感情的主人，被自己周围生长出来的无数只脚压迫得目瞪口呆。但是，她本人似乎并不满意，似乎正因为太幸福而放纵自己。另外，Doppel虽然在寻找适合自己的脚，但却始终找不到，因而在自己体内堆积着废弃的脚。尽管如此，由于没有放弃追求与命运之足的相遇，所以常常因为不甘心而大发脾气，跳向高空、踩在地上，以消除压力。似乎跳得越高，压力就越能消除。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1032 description_zh	この感情の主は、自分の周りに生えだした無数の足に圧迫されて呆然としている。しかし本人自身はまんざらでもないらしく、幸福過ぎるがゆえに放心しているようだ。一方のドッペルは、自分に合う足を探しているものの一向に見つからず、自分の中に廃棄する足ばかりをためている。それでも運命の足に出会えるのは諦めていないので、悔しくて癇癪を起こすことが度々あり、高く天空に跳上がり落下して地面を踏んでストレスを解消している。高く上がれば上がるほど、ストレスが解消できるらしい。	wiki_authority
1123	doppelList.json	103200	name	赤裸的魔女化身	赤裸裸的魔女化身	wiki_doppel_keyed	99	1.0	doppel.json charaId=1032 name_zh	赤裸々のドッペル	wiki_authority
1124	doppelList.json	103300	description	这份感情的主人会与魔女化身一同怜悯同族，持续祈祷，希望将她们送往没有悲伤与痛苦的虚无世界。感受力强烈的魔女化身一旦察觉悲伤或痛苦，就会本能地采取“救助”行动。那既源自它厌恶血腥的偏好，也混杂着将对象送回无需感情的自然世界的慈爱。被它口中放出的丰饶之光照到的人，会立刻化为灰烬，成为大地的肥料。顺带一提，无论从哪个角度看，它都只有同一副样貌，就连主人也从未看过它的背面。	这份感情的主人，与想把同族送到没有悲伤和痛苦的“无”的世界的魔女化身一起怜悯地祈祷着。感性强的魔女化身在感受到悲伤和痛苦时，会条件反射地采取拯救对象的行动。讨厌，那是魔女化身的的血腥的喜好，自然的感情不需要世界的慈爱喜忧参半，口中放生的丰登的光的照射者，立刻成为灰烬大地的养料。顺便一提，无论从哪个角度看，都只能看到相同的姿态，主人也没有见过背后的样子。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1033 description_zh	この感情の主は、同族を悲しみと苦しみのない無の世界に送ろうとしてくれるドッペルと、共に憐れみながら祈りを捧げ続ける。感受性の強いドッペルは、悲しみや苦しみを感じ取ると、反射的に対象を救うための行動をとる。それは、ドッペルの血生臭いことを嫌うという好みと、自然という感情を必要としない世界に返してあげるという慈愛が入り交じったもので、口から放たれた豊穣の光を浴びた者は、すぐさま灰となって大地の肥やしになる。ちなみにどの角度から見ても同じ姿にしか見えず、主も背後を見たことがない。	wiki_authority
1125	doppelList.json	103400	description	这份感情的主人拒绝别人踏入自己的兴趣、喜好等私人领域。被坚硬外壳包裹的魔女化身会隔绝外界信息，强行制造距离，成为主人的私人空间；若有碍事者，顶部还设有机构，能让主人从内部狙击并排除外面的人。然而魔女化身本身也拒绝干涉，一旦有人搭话或试图触碰，它便会慌张地暴动，直到把对方打得失去形状才会平静下来。据说这时待在内部的主人也会被剧烈摇晃，弄得遍体鳞伤。	这份感情的主人拒绝自己的兴趣爱好等个人事情。被坚硬的外壳覆盖的Doppel成为了隔着周围的信息强制制造距离的主的私人空间，上部有如果有干扰的人，可以狙击并排除在外面的人的机构。但是，因为Doppel本身也有拒绝被干涉的性质，所以如果有人来搭话或接触，他就会慌张地闹着对方消失不见为止，让心情平静下来。那个时候在里面的主人，身体好像被摇晃得破烂不堪。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1034 description_zh	この感情の主は、自分の趣味や好みなど、個人的なことに踏み込まれるのを拒む。堅い外殻で覆われたドッペルは、周囲の情報を隔てて強制的に距離を作る主のプライベートスペースとなっており、もしも邪魔な者がいれば、主が外にいる者を狙撃して排除できるような機構を上部に持ち合わせている。ところが、ドッペル自身も干渉されるのを拒む性質なので、話しかけてきたり触れようとする者がいたら、慌てて相手が形を無くすまで暴れて気持ちを落ち着かせようとする。そのとき中にいる主は、シェイクされてボロボロになってしまうらしい。	wiki_authority
1126	doppelList.json	103500	description	这份感情的主人把恋心封入心底，不曾诉诸言语，只是持续沉睡。＠从水底出现的魔女化身，是绝不允许任何人放弃爱情的不沉化身。只要主人或它自己看上某个人，便会把那人的心意编入歌声，摇动羽翼与桅杆，举办一场最精彩的演唱会。＠演出结束后若毫无反应，就会被格栅状桅杆切成碎片，因此鼓掌最为稳妥；不过无论如何，听到歌声都会使体内铁元素遭到分解、身体不适，所以最好从一开始就不要听。	这份感情的主人将自己的恋慕之情封存起来，无言地持续着沉眠。＠从水底出现的Doppel是绝不允许放弃任何恋情的，不沉的化身。主人和自己有了爱慕的对象后，就会将那份思念编入歌曲中，同时振动翅膀和桅杆，成就至高无上的演奏会。＠如果在观赏后没有给出反应的话，就会被格子状的桅杆剁碎，因此还是送上掌声为妙。但只要听了歌，体内的铁分就会被分解，从而让身体崩溃，所以最好还是从一开始就不要去听。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1035 description_zh	この感情の主は自分の恋心を封じ込めて言葉にすることもなく眠り続ける。\n\n水底から現れたドッペルは、どんな恋も諦めることを決して許さない不沈の権化。主や自分が気に入った相手がいると、その人の想いを歌に乗せながら羽とマストを揺らし、最高のコンサートにする。\n\n鑑賞後に何も反応をしないと格子状のマストで細切れにされるので、拍手を送るのが無難だが、どちらにしても歌を聴くと体内にある鉄分を分解されて体調を崩すようになるので、最初から聞かない方が良いと言われている。	wiki_authority
1127	doppelList.json	103500	name	恋慕的魔女化身	慕情的魔女化身	wiki_doppel_keyed	99	0.0	doppel.json charaId=1035 name_zh	慕情のドッペル	wiki_authority
1128	doppelList.json	103600	description	这份感情的主人一方面为魔女化身愿意陪自己表演而高兴，一方面又怀疑自己是否也在被它操纵。沟通能力极强的魔女化身不仅能陪伴主人，还能应对各种人，以滑稽的动作俘获所有人的心，让任何人都成为朋友。然而，这其实意味着对方已经被它魅惑并操控。真正与它成为朋友的人，据说会在和它玩杂耍的过程中被雪茄盒压扁，遭受各种伤害。	这份感情的主人，虽然对能和自己一起表演的Doppel感到高兴，但惊讶的同时又怀疑自己是不是被操纵了。交际能力强的Doppel不仅能和主人，还能和各种各样的人交往，而且还能以滑稻的动作俘获大家的心。谁都能和它成为朋友。但是，这也正是被 Doppel迷惑而被操纵的证明。实际上，和他成为朋友的人，在和Doppel玩杂耍的时候被砸碎受到了灾难。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1036 description_zh	この感情の主は、自分と一緒にパフォーマンスをしてくれるドッペルに喜びを覚えながらも、自分自身が操られているのではないかと訝しんでいる。コミュニケーション能力が高いこのドッペルは、主のみならず色んな人の相手ができるばかりか、コミカルな動きでみんなを虜にすると誰でも友だちになってしまう。ところがそれは、このドッペルに魅了されて操られるようになった証。実際に友だちになった人は、ドッペルとジャグリングをして遊んでいる間にシガーボックスで潰されたりするなど、被害に遭っているらしい。	wiki_authority
1129	doppelList.json	103700	description	这份感情的主人虽然惊讶于自己内在的凶暴性，却也对这名肤浅的魔女化身有些无奈。＠它不善于观察周围，常凭眼前所见轻率下结论，有时该战斗时手舞足蹈，该享乐时却怒不可遏。＠它固执得很，难以改变想法；但当情势与行动恰好一致时，实力极其惊人：变化自如的刀刃令人无从闪避，任何攻击都会被莲花表面的莲叶效应弹开。其战斗姿态宛如舞蹈般优美，广受赞叹。＠它似乎把主人当作与滑稽的自己相似的同伴。	这种感情的主人虽然对自己身上的凶暴性感到惊讶，但还是对浅薄的Doppel有点不可思议。＠这只没有仔细观察周围的Doppel，有一种看到自己看到的东西就贸然断定的癖好＠在该战斗的时候会手舞足蹈，在该享受的时候会愤慨。＠虽然顽固且难以改变想法，但状况和行动一致时的实力惊人，变幻自如的刀刃是不可避免的，任何攻击都会因为莲花的旋转效果而被弹起。那个战斗的样子被称赞像跳跃一样美丽。＠顺便说一下，似乎认为主人是和滑稽的自己相似的伙伴。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1037 description_zh	この感情の主は己の中にある凶暴性に驚きつつも浅はかなドッペルに少々呆れ気味。\n\n周りをよく見ていないこのドッペルは、目に入ったものを見て早合点するクセがあり\n\n戦うべき時に小躍りし、楽しむべき時に憤慨することがある。\n\n頑固でなかなか考えも変えてくれないが、状況と行動が一致した時の実力は凄まじく、変幻自在な刃は避けられず、どんな攻撃も蓮の花のロータス効果で弾かれる。その戦う様はまるで躍るように美しいと賞賛されている。\n\nちなみに主の事を滑稽な自分と似ている仲間だと思っているらしい。	wiki_authority
1130	doppelList.json	103800	description	这份感情的主人拥有不轻易动摇的强韧内心，却唯独对自己的幼稚感到焦躁，因此无法喜欢上与自己相似的魔女化身。＠这只幼小的魔女化身同样尚未成长到能自由操纵四肢，只会索要食物，因此极度厌恶无能的自己，也不满主人同样年幼。它自诞生起便积累压力，平时只能以尖叫宣泄；一旦压力越过临界点并爆发，就会破壳乱跳，在各处留下惨烈的爪痕。据说若再叠加主人的压力，破坏会更加严重。	这份感情的主人拥有不会轻易动摇的坚强的心，但由于对自己的幼稚感到焦虑，所以无法喜爱与自己相似的Doppel。＠这个幼小的Doppel还未成长到能够自由操控四肢，最讨厌只能索要食物的自己，主人自己也不喜欢这份幼稚。这个Doppel自出生之时就开始积攒压力，经常要通过呐喊来发泄。然而，当压力超过顶峰爆发时，就会打破外壳来回跳跃，所到之处都会留下凄惨的爪痕。再加上主人的压力的话，就会变得更严重吧。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1038 description_zh	この感情の主は、簡単には揺れ動かない強い心の持ち主だが、自分の幼さだけにはやきもきしているので、似た者同士のドッペルが好きになれない。\n\nこの幼いドッペルもまた、四肢を自在に操れるほど成長しておらず、ただエサをねだることしかできない自分が大嫌いで、主自身が幼いことも気に食わない。生まれた瞬間からストレスを溜めていて、いつも喚き声を上げることで発散している。ところがストレスがピークを超えて爆発すると、殻を破って跳び回って至るところに凄惨な爪痕を残す。それは主のストレスも重なると、さらに酷くなるらしい。	wiki_authority
1131	doppelList.json	103900	description	这份感情的主人看着毫无迷惘、天真玩耍的魔女化身，觉得它既象征自己的自由，也象征自己的罪，因此深受煎熬。＠魔女化身轻飘飘地自由游荡，只依本能行动。无论大声叫喊、进食，还是沉浸在喧闹色彩中，都只是因为觉得快乐；即使给谁带来悲伤和痛苦，世间的罪恶概念也无法套用在它身上。＠遭到袭击时，它看起来既像毫无污秽的孩子，又像永远无法成长的可怜存在，所以越是成熟的大人，越会先感到悲伤，而非恐惧。	这份感情的主人，没有一点的迷惑，天真无邪地玩耍着Doppel，对自己来说是自由的象征，同时也是罪恶的象征，为此而苦恼着。＠这个Doppel一边轻轻地自由地漂浮着，一边按照本能行动着。大声说话、吃饭、被热闹的色彩包围，一切都只是因为开心，无论让谁悲伤痛苦，都不适合这个世界的罪的概念。＠被袭击的时候，乍看之下是一个没有污秽的孩子，而且看起来像是一个无法成长的可怜的存在，所以越是大人，悲伤就越要比恐惧先出现。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1039 description_zh	この感情の主は、微塵の迷いもなく無邪気に遊ぶドッペルが、自分にとって自由の象徴でありながら罪の象徴でもある気がして、苦悶している。\n\nこのドッペルはフワフワと自由に漂いながら、本能の従うままに行動している。大きな声を出すのも、食事をするのも、賑やかな色彩に包まれるのも、全ては楽しいからしているだけで、誰を悲しみ苦しめようとも、この世の罪の概念は適合されない。\n\n襲われた時は、一見穢れのない子どものように見えるばかりか成長できない哀れな存在のように思えるため、大人であるほど恐怖よりも悲しみが先に立つ。	wiki_authority
1132	doppelList.json	104000	description	这份感情的主人削去自己的一部分后，即使被哀悼的锁链束缚，也依然无法感受到刻在其中的爱，只能在开放的世界里继续过着空洞的自由生活。＠魔女化身同样没有察觉自身的爱。它一味寻找珍视自己的人，一旦发现魔力或境遇与自己相似的对象，就会用张开的肋骨将其捕获，毫不留情地收紧，仿佛要吞入体内。＠然而无论吸收多少人，都永远无法填补它真正渴求的东西。	这份感情的主人，强行削掉了自己的一部分之结果，便是即使囚缚在哀悼之锁链中仍无法感受到铭刻的爱情，只得在开放的世界之中怀抱着空虚的自由生存下去。＠这个Doppel也无法察觉到深藏于内在的爱情。一昧寻找着能好好重视自己的人，一旦发现了与自身的魔力或境遇相似的人，就会张开肋骨捕捉来，不留余地地犹如要纳入自身一般紧拥着对方。＠可是，尽管再怎么去拥抱，这个Doppel的欲求也永远无法被满足。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1040 description_zh	この感情の主は、自分の一部を削ぎ落とした結果、悼みの鎖に繋がれても刻まれた愛情を実感できないまま、開放的な世界で虚ろな自由を生き続けている。\n\nこのドッペルもまた内なる愛情に気付くことない。ひたすら自分を大切にしてくれる人を求め続け、自分と似た魔力や境遇の人を見つけると、開いたあばら骨で捕らえてしまい、取り込むように容赦無く相手を締め付ける。\n\nだが、どれだけ取り込もうとしても、決してこのドッペルが求めるものが埋まることはない。	wiki_authority
1133	doppelList.json	104100	description	这份感情的主人因象征生命源初的存在显现，强烈意识到那道无法逃离、终将把自己推向加害者位置的枷锁。＠魔女化身不言不示，只会吸收主人的污秽，使生命之树不断成长。它虽被包裹在襁褓中，却和主人一样从未得到祝福；它会散播与生俱来的污秽，出于恶劣天性伤害他人。＠若有人被囚禁在树状图中，便会坠入痛苦的熔炉。能够成为树状图一部分的，只有主人。	这份感情的主人，由于Doppel展现了生命的原始，痛切地感受到自己作为加害者无法逃避的桎梏。＠这个Doppel沉默无言，仅仅是吸取了主人的污秽使生命之树茁壮成长。虽然身姿被包裹在襁褓之中，但和主人一样没有得到祝福，生来便是是散播污秽之物，会因性恶而危害他人。＠如果树状图中出现了其他被囚禁的人，那个人就会陷入痛苦的熔炉吧。能成为树状图一部分的只有主人。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1041 description_zh	この感情の主は、生命の原初を示す存在が現れたことで、自身を加害者に至らしめる逃れられない軛の存在を痛烈に感じている。\n\nこのドッペルは何も語らず示すこともなく、主の穢れを吸い上げて生命の樹を大きく成長させている。姿こそ御包みに包まれているが、主と同様に祝福はされておらず、生まれながらに得た穢れを振りまいては、性悪によって相手に危害を与える。\n\nもしも樹形図の中に囚われる他者が現れたなら、その者は苦痛の坩堝に落ちてしまうだろう。樹形図の一部になることは主にしかできない。	wiki_authority
1134	doppelList.json	104300	description	这份感情的主人曾因后悔过去而停下脚步，但如今找到了光，便再也不愿放弃振翅飞翔。不断流泪的魔女化身为让主人轻松一些，会用沉重的泥翼令她难以行动，否定她向天空进发或向前奔跑，并不断指向相反的道路。面对敌人时，它也会利用双翼发动攻击，但每一个动作同时都在向主人证明：无论做什么都无法抵达光明。若被它彻底侵蚀，最终只能成为伫立在地面的黑色星辰。	这份感情的主人，曾因悔恨自己的过去而停下脚步，但在发现光明的如今，又重新开始振翅飞翔。泪流不止的Doppel为了让主人获得解脱，用沉重的泥翼拖着身体前行，既否定了朝天空飞翔又否定了向前方奔驰，展示出一条与之完全相反的道路。尽管遇到对峙者时，Doppel以利用双翼发动攻击，但一切的行动都不过是为了告诉主人，无论做些什么都无法抵达光明。被这个Doppel侵蚀尽后，末路仅有成为伫立在地的黑星。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1043 description_zh	この感情の主は、一度は自らの過去を悔やんで足を止めたものの、光を見出した今は羽ばたこうとするのをやめようとしない。涙を流し続けるドッペルは、主を楽にするために重い泥の翼で身動きを取り辛くし、空を目指すことも駆けることも否定しながら真逆の道を示し続ける。対峙する者があれば、その翼を活かして攻撃をしかけるものの、その挙動ひとつひとつは、何をしても光に辿り着けないことを主に示すための行動でもある。このドッペルに浸食され尽くしたあとは、地上に佇む黒い星になるしかない。	wiki_authority
1135	doppelList.json	104400	description	这份感情的主人蔑视现实，又对停滞不动的魔女化身感到愤怒，试图将其支配。魔女化身把复杂感情附加在精密而理想的想象世界上，结果变得动弹不得。它曾试图借镜子映出想象、编织理想世界，但只靠自己的想象既乏味又显得肤浅；在苦恼中不断磨损内心后，最终化为对称的影子。主人厌倦了它躲藏着苦恼的样子，提出“缺少的部分只要补上即可”，建议寻找祭品以补全想象，魔女化身也响应了这一意见。	这份感情的主人对蔑视现实却不作行动的Doppel感到愤怒，试图将其支配。这个Doppel创下精致美好的世界，却犯了将沉重复杂的感情加压其上的过错，从而失去了前进的动力。曾经这个Doppel也有过在镜中描摹想象，谱写完美世界的时期，然而仅凭自身想象作出的事物不仅空洞乏味还显得分外单薄，在懊恼中耗尽心神的尽头，化为了仅有对称图案的单调影像。对这避居在此内耗自身的Doppel感到烦闷的主人，给出“不够的话补充就行了”的回复，提议去寻求可供补完想象的祭品，Doppel便呼应了其意见。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1044 description_zh	この感情の主は、現実を蔑みつつも動かないドッペルに怒り、支配しようと試みる。このドッペルは、思い描く緻密で理想的な世界に、複雑な感情を乗せてしまったことで身動きが取れなくなってしまった。鏡を使って想像を写し、理想の世界を紡ごうとした時期もあったが、自身の想像だけでは味気ない上に薄っぺらく感じられるようで、懊悩して心を削っていった結果、シンメトリーな影へと姿を変えていった。隠れて悩み続けるドッペルに嫌気がさした主は、足りないなら加えればいいと、想像を補完するための生贄を求めることを提案し、ドッペルも主の意見に呼応している。	wiki_authority
1136	doppelList.json	104400	name	隐遁的魔女化身	隐居的魔女化身	wiki_doppel_keyed	99	1.0	doppel.json charaId=1044 name_zh	隠遁のドッペル	wiki_authority
1137	doppelList.json	104400	title	其姿态为镜子	其姿态为镜	wiki_doppel_keyed	99	1.0	doppel.json charaId=1044 form_zh	その姿は、鏡	wiki_authority
1138	doppelList.json	104500	description	这份感情的主人虽希望以丰收拯救民众，却在内心深处隐藏着让家族复兴的利己愿望。魔女化身仿佛以行动揭露主人的本心，会点燃稻草上的欲火，把自己的敌人逼出来，再用坚硬的手脚捕食。其姿态残忍，即使主人试图阻止也毫无作用；它会为了提高自身价值，不断寻找并狩猎必要的猎物。当所有稻草燃尽、魔女化身消失后，四周只留下凄惨景象，不过据说其中会残留少许美丽的野花。	这份感情的主人，虽然希望丰收拯救人民，但在其内心深处却隐藏着希望家的复权的自私想法。这只Doppel就像用行动来表现主人的真心一样，在稻草上点燃欲望之火，炙烤自己的敌人，用僵硬的手脚捕食。其姿态残忍，即使主想要阻止也无法阻止，为了提高自己的价值继续寻找必要的猎物进行狩猎。当所有的稻草都燃烧殆尽，Doppel形态消失后，留在周围的都是凄惨的景象，但那里似乎还残留着一点美丽的野花。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1045 description_zh	この感情の主は、豊穣による民の救い望みながらも、その心の裏側に家の復権を望むという利己的な想いを隠している。このドッペルは主の本心を行動で表すかのごとく、藁に欲の火を灯して己の敵を炙り出しては硬い手足で捕食する。その姿は残忍で主が止めようとしても歯止めは効かず、己の価値を高めるために必要な獲物を探して狩りを続ける。すべての藁が燃え切ってドッペルが消えると、辺りに残るのは凄惨な光景ばかりだが、そこには少しだけ美しい野花が残っているらしい。	wiki_authority
1139	doppelList.json	104500	title	其姿态为稻草武士	其姿态为稻草武者	wiki_doppel_keyed	99	1.0	doppel.json charaId=1045 form_zh	その姿は、藁武者	wiki_authority
1140	doppelList.json	104600	description	这份感情的主人长久凝视着斩杀挚友的双手，为了看见那段永远无法继续描绘的回忆，闭上了双眼。魔女化身是从被遮蔽的视野中飞出的幻想宝珠，内部充满从皮肤溢出的记忆之云，以及香甜芬芳的喜悦之花。其核心是绝不能触碰的果实，只要试图接近，就会被当作仇敌遭龙吞噬，化成污浊墨汁。若与宝珠中窥视的存在对上目光，魔女化身的怨恨便会贯穿大脑，使人长时间为不稳定的心绪所苦。	这份感情的主人，在持续眺望着斩杀了所爱的朋友的手的过程中，为了看到永远无法描绘的回忆的继续而闭上了眼睛。这只Doppel是从遮挡的视野中飞出的幻想之珠。充满了比皮肤更丰富的记忆之云和，甜美芬芳的喜悦之花。核心部分是不可触及的果实，只是想靠近它，就会被龙作为仇敌吃掉，变成肮脏的墨汁。如果和从珠子中窥视的人对视的话，Doppel的怨恨就会贯穿大脑，暂时被不安定的心所困扰。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1046 description_zh	この感情の主は、愛する友人を斬った手を眺め続けるうちに、未来永劫描かれなくなった思い出の続きを見るために目を閉ざした。このドッペルは、遮った視界より飛び出した幻想の珠。皮膚より溢れる記憶の雲と、甘美で芳しく香る喜びの花に満たされている。その核となる部分は触れてはならない果実であり、近づこうとするだけで仇として龍に食われて汚い墨汁にされてしまう。もしも、珠の中より覗き見る者と目を合わせてしまうと、ドッペルの恨みが脳を貫き、しばらくは不安定な心に悩まされることになる。	wiki_authority
1141	doppelList.json	104800	description	这份感情的主人从出生起便被迫过着臣服于王的生活；当她意识到还存在其他活法时，便陷入了冲突。魔女化身因这种矛盾不断产生摇摆，并通过振动双翼把动摇传播到周围，让他人心中也生出迷惘。迷惘会迅速膨胀，制造出喜悦与悲伤、希望与放弃、尊敬与蔑视等种种二元对立，并召来混沌。达到临界点后，混沌便会泛滥，将一切带往无常。	这个感情的主人，从出生开始就被迫臣服于王的人生。但是，意识到还有其他的生活方式后，就被矛盾折磨着。这只魔女化身由于这样的矛盾而不断产生波动，它通过展翅向周围传播，在心中产生迷茫。迷茫立刻膨胀起来，产生喜悦和悲伤、希望和放弃、尊敬和蔑视等各种二项，引起混沌。不久迎来临界点，混沌溢出，将一切带向无常。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1048 description_zh	この感情の主は、生まれた時から王に臣従する人生を強いられている。しかし、それ以外の生き方があるということに気づくと、葛藤に苛まれた。このドッペルはそんな葛藤に起因して常に揺らぎを生み、それは翼を羽ばたかせることによって周囲にも伝播して心の中に迷いを生じさせる。迷いはすぐに膨れ上がり、喜びと悲しみ、希望と諦観、尊敬と侮蔑など、様々な二項を生み出しては混沌を呼ぶ。やがて臨界点を迎えると混沌は溢れかえり、すべてを無常へと連れ去っていく。	wiki_authority
1142	doppelList.json	104900	description	这份感情的主人失去了如双生树般一同长大的妹妹，怀抱着空洞的内心。她寻找已经失去的另一半，漫无目的地徘徊。魔女化身会把这样的主人带上既有目的又没有目的的无尽旅途。船上只允许主人乘坐；若有人接近，心灵便会立刻被波浪吞没，从此如亡灵般只会跟随在魔女化身身后。	这份感情的主人失去了像双树一样长大的妹妹，内心空虚。然后，寻找着失去的半身，漫无目的地彷徨着。Doppel将这样的主人带进了有目的而不存在目的的无限之旅。登船的只有主人，若是有人靠近船，他的心马上就会被波浪吞没，像亡灵一样跟在Doppel身后。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1049 description_zh	この感情の主は、双樹のように育った妹を失い、虚ろな心を抱えている。そして、無くなった半身を探し求め、あてどなく彷徨っている。ドッペルはそんな主を目的があって目的が存在しない無限の旅に連れていく。乗船するのは主のみで、船に近寄る者があれば、たちまち心は波にのまれてしまい、ドッペルの後を亡霊のようにただついていくようになる。	wiki_authority
1143	doppelList.json	104900	title	其姿态为空舟	其姿态为空船	wiki_doppel_keyed	99	1.0	doppel.json charaId=1049 form_zh	その姿は、空船	wiki_authority
1144	doppelList.json	105000	description	这份感情的主人发现如双生树般一同长大的姐姐已与自己离心，精神平衡因此严重崩坏。魔女化身回应由这种失衡产生的破坏冲动，凡有接近者都会一律遭到击倒与毁灭。它一旦显现，便会在黑暗海面上不停奔走，持续寻找猎物，直到深沉的情绪得到宣泄。然而旅途的尽头绝不会有安宁等待着它。	这段感情的主人，随着像双树一样长大的姐姐的心离自己而去，精神严重失衡。Doppel与这种不均衡产生的破坏冲动相呼应，只要有接近的东西就一律打击、破坏。一旦出现，它就会在黑暗的海面上一心一意地寻找猎物，直到消除那黑暗的情绪为止。但是，在哪前方绝对没有安息。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1050 description_zh	この感情の主は、双樹のように育った姉の心が離れてしまい、精神のバランスを著しく崩している。ドッペルはその不均衡から生まれた破壊衝動に呼応し、近寄るものがあれば一様に打ちのめし、破壊していく。ひとたび出現したら、その闇深い情動が紛れるまで、ひたすらに獲物を求めて暗い海を駆け巡る。しかし、その先には決して安息は待ち受けていない。	wiki_authority
1145	doppelList.json	105100	description	这份感情的主人在拯救人们的过程中迷失了自我，并执着于周围人对自己的狂热信奉。魔女化身仿佛表现主人的执念，自以为独自承受着世间业火，持续奔走，试图为寻求救赎的人带来天佑。然而看见它的人不但得不到拯救，反而会被过于耀眼的光灼伤双眼，继而卷入火焰。魔女化身认为燃烧的人已经获得救赎，主人也始终沉溺于执念、不曾反省；等她回过神来时，只会背负新的罪业。	这份感情的主人在救赎人们的过程中丧失了自我，变得过度执着于四周的狂信。而Doppel就宛如要演绎主人的妄执般将此世的业火集于一身，不停回转着要将天佑带给祈求救赎的人们。然而目睹其姿态的人们何止救赎，目击烈焰的瞬间便早已被灼尽视力，卷入天火之中。Doppel认为被燃尽的那些人们才真正得到了救赎，主人也同样执迷不悟，每逢清醒之时已背负上新的罪业。	wiki_doppel_keyed	99	1.0	doppel.json charaId=1051 description_zh	この感情の主は、人々を救う間に自分を見失い、周りからの狂信に執着している。そんなドッペルは、主の妄執を表すかのようにこの世の業火を一身に纏ったつもりで、救いを求める人々へ天佑をもたらそうと駆け続ける。だが、その姿を目にした者は、救われるどころかあまりのまばゆさに目が焼けると炎に巻き込まれてしまう。ドッペルは燃える者たちこそ救われたと思い、主も妄執に取りつかれたまま自らをかえりみることはないので、我に返ったときには新たな業を背負っている。	wiki_authority
1146	doppelList.json	105100	title	其姿态为经书	其姿态为经典	wiki_doppel_keyed	99	1.0	doppel.json charaId=1051 form_zh	その姿は、経典	wiki_authority
