text	occurrences	dictionaries	fields	keys	confidence	evidence_sample	review_index	classification	classification_label	risk	semantic_note	wiki_check_recommended	wiki_check_note
全体編 8話	1	sectionList.json	title	sectionList.json:102958/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102958/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	48	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 9話	1	sectionList.json	title	sectionList.json:102959/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102959/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	49	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
千石 撫子	4	sectionList.json	charaName	sectionList.json:340441/charaName | sectionList.json:340442/charaName | sectionList.json:340443/charaName | sectionList.json:340444/charaName	0.99	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/340441/charaName | wiki_frozen_exact=data/characters.json/千石抚子/dataTable,data/characters.json/千石抚子/infobox/日文名,data/characters.json/千石抚子/nameJa | wiki_frozen_zh_exact=none | wiki_frozen_translation_pair=data/characters.json/千石抚子/nameJa=>nameZh,data/characters.json/千石抚子/dataTable=>nameZh | pass15_coverage=unchanged_or_not_in_382_delta	50	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	联动角色名；应采用 Wiki 的中文角色定名，并统一姓名间空格规则。
南津 涼子	6	sectionList.json	charaName	sectionList.json:102923/charaName | sectionList.json:330581/charaName | sectionList.json:330582/charaName | sectionList.json:330583/charaName | sectionList.json:330584/charaName | sectionList.json:730581/charaName	0.99	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102923/charaName | wiki_frozen_exact=data/characters.json/南津凉子/dataTable,data/characters.json/南津凉子/infobox/日文名,data/characters.json/南津凉子/nameJa | wiki_frozen_zh_exact=none | wiki_frozen_translation_pair=data/characters.json/南津凉子/nameJa=>nameZh,data/characters.json/南津凉子/dataTable=>nameZh | pass15_coverage=unchanged_or_not_in_382_delta	51	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色名；已有 Wiki 日中名称对证据，应按中文角色条目统一并保留字段空格风格。
南津涼子	2	itemList.json | shopItemList.json	name	itemList.json:EVENT_DAILYTOWER_1130_STICKER_305800/name | shopItemList.json:33649/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_305800/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	52	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色商品／贴纸名；与同角色的 Wiki 中文定名及有空格变体统一。
可使用1次周年纪念★4魔法少女1体必得10連扭蛋的券	1	itemList.json	description	itemList.json:SPECIAL_ANNIVERSARY_GACHA10_1110_TICKET/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/SPECIAL_ANNIVERSARY_GACHA10_1110_TICKET/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	53	B	中日混写，需语义翻译	medium	句法与日文计数单位混写；需整句语义处理，保持“可使用1次”、周年、★4、必得、10连等约束不变。	False	""
可兑换専用在商店泳装衣装的券	2	itemList.json	description | shortDescription	itemList.json:EVENT_DAILYTOWER_1218_EXCHANGE_2/description | itemList.json:EVENT_DAILYTOWER_1218_EXCHANGE_2/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=専 | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1218_EXCHANGE_2/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	54	B	中日混写，需语义翻译	medium	句法次序和“専用/衣装”属于混写；明确券是在商店兑换泳装，勿改变可兑换对象。	False	""
史乃 沙優希	2	sectionList.json	charaName	sectionList.json:208004/charaName | sectionList.json:730331/charaName	0.99	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/208004/charaName | wiki_frozen_exact=data/characters.json/史乃沙优希/dataTable,data/characters.json/史乃沙优希/infobox/日文名,data/characters.json/史乃沙优希/nameJa | wiki_frozen_zh_exact=none | wiki_frozen_translation_pair=data/characters.json/史乃沙优希/nameJa=>nameZh,data/characters.json/史乃沙优希/dataTable=>nameZh | pass15_coverage=unchanged_or_not_in_382_delta	55	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色名；已有 Wiki 日中名称对证据，应按中文角色条目统一并保留字段空格风格。
史乃沙優希	1	shopItemList.json	name	shopItemList.json:33641/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/33641/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	56	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色商品名；与同角色的 Wiki 中文定名及有空格变体统一。
史乃沙優希的服装【泳装】	1	shopItemList.json	name	shopItemList.json:33895/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/33895/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	57	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色专属泳装服装名；人物名和服装标题均需按 Wiki 角色／服装条目核定。
喫茶店	1	sectionList.json	areaDetailName	sectionList.json:207102/areaDetailName	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/207102/areaDetailName | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	58	B	中日混写，需语义翻译	medium	通用地点词而非专名；机械转字会得到不自然中文，应按地点语义处理。	False	""
困難級	1	sectionList.json	title	sectionList.json:104240/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/104240/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	59	A	仅日文字形/繁简规范	medium	难度层级仅为字形规范；保持其与相邻窮地级、绝望级的级别映射。	False	""
天乃鈴音	1	shopItemList.json	name	shopItemList.json:33532/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/33532/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	60	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色商品名；需按 Wiki 角色条目核定中文姓名。
好評配信中	3	charaMessageList.json	message	charaMessageList.json:1040_78/message | charaMessageList.json:3056_78/message | charaMessageList.json:3058_78/message	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_78/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	61	B	中日混写，需语义翻译	medium	宣传语整句为日文，需语义翻译；“配信”在游戏发布语境，不按字面处理。	False	""
好評配信中！	1	charaMessageList.json	message	charaMessageList.json:3021_78/message	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/3021_78/message | wiki_frozen_typed_record=data/characters.json/铃鹿朔夜#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	62	B	中日混写，需语义翻译	medium	同一宣传语的感叹号变体；与无感叹号版本统一术语但保留标点差异。	False	""
安寧―Peace―	1	sectionList.json	title	sectionList.json:330563/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/330563/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	63	C	专名，须查Wiki	high	章节/剧情标题；破折号和英文Peace可能是设计的一部分，先查权威标题再处理。	True	章节题名，采用日英混排；需查 Wiki 定名，并确认英文副题与破折号样式。
宝崎市立光塚中等教育学校	2	charaList.json	school	charaList.json:1031/school | charaList.json:1032/school	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaList.json/1031/school | wiki_frozen_typed_record=data/characters.json/神乐灿#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	64	C	专名，须查Wiki	high	学校专名；Wiki/角色资料核对正式校名，不能把“塚”等字仅凭OpenCC改成普通字。	True	虚构学校全称；应以角色／学校 Wiki 条目的固定中文校名为准。
宝崎市立光塚中等教育学校校服	2	live2dList.json	description	live2dList.json:1031_01/description | live2dList.json:1032_01/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/live2dList.json/1031_01/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	65	C	专名，须查Wiki	high	服装描述包含学校专名；与charaList.school的权威校名完全一致，后缀只按服装领域处理。	True	服装名以学校专名作修饰；先核定学校全称，再核对校服标题。
引縄批根	2	pieceList.json | shopItemList.json	name | pieceName	pieceList.json:2009/pieceName | shopItemList.json:31515/name	0.99	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=縄 | official_cn_dump=missing_record:authority.json/pieceList.json/2009/pieceName | wiki_frozen_exact=data/memoria.json/引縄批根/name_ja | wiki_frozen_zh_exact=none | wiki_frozen_translation_pair=data/memoria.json/引縄批根/name_ja=>name_zh | pass15_coverage=unchanged_or_not_in_382_delta	66	C	专名，须查Wiki	high	记忆结晶专名；输入证据已有Wiki name_ja=>name_zh typed pair，pieceList与shop字段必须同步。	True	记忆结晶标题；已有 Wiki 日中标题对证据，不能只按字形机械处理。
恵 萌花	4	sectionList.json	charaName	sectionList.json:330341/charaName | sectionList.json:330342/charaName | sectionList.json:330343/charaName | sectionList.json:730341/charaName	0.99	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=恵 | official_cn_dump=missing_record:authority.json/sectionList.json/330341/charaName | wiki_frozen_exact=data/characters.json/惠萌花/dataTable,data/characters.json/惠萌花/infobox/日文名,data/characters.json/惠萌花/nameJa | wiki_frozen_zh_exact=none | wiki_frozen_translation_pair=data/characters.json/惠萌花/nameJa=>nameZh,data/characters.json/惠萌花/dataTable=>nameZh | pass15_coverage=unchanged_or_not_in_382_delta	67	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色名；已有 Wiki 日中名称对证据，应按中文角色条目统一并保留字段空格风格。
恵萌花	1	itemList.json	name	itemList.json:EVENT_DAILYTOWER_1130_STICKER_303400/name	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=恵 | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_303400/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	68	C	专名，须查Wiki	high	人物专名；使用Wiki typed nameJa=>nameZh，按字段约定处理姓名空格，并与同角色所有字典保持一致。	True	角色贴纸名；与同角色的 Wiki 中文定名及有空格变体统一。
"您好，我叫篠目约鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	1	charaMessageList.json	message	charaMessageList.json:1040_2/message	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_2/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	69	C	专名，须查Wiki	high	多行角色语音含人物自称；当前姓名形态与Wiki typed identity存在差异，整名核对，保留换行与调整屋身份。	True	台词正文含角色名；仅姓名部分属 C 并应查 Wiki，正文其余残留需由文本翻译项处理。
我慢我慢我慢…追跡	1	sectionList.json	title	sectionList.json:335032/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/335032/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	70	C	专名，须查Wiki	high	剧情标题；重复词、三点省略号和末尾词构成完整标题，不拆词机械转换。	True	章节题名，含重复词与省略号；需按 Wiki 保留标题节奏、分词与标点。
"我是旅行调整屋之一，篠目约鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	1	charaMessageList.json	message	charaMessageList.json:1040_1/message	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_1/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	71	C	专名，须查Wiki	high	多行角色语音含人物自称；与同角色另一条语音统一姓名，保留8行换行和“老师/调整屋/灵魂宝石”关系。	True	台词正文含角色名；仅姓名部分属 C 并应查 Wiki，正文其余残留需由文本翻译项处理。
攻击力提升[Ⅲ] & 瀕死时攻击力提升[Ⅰ]	2	pieceSkillMap.json	shortDescription	pieceSkillMap.json:175900/shortDescription | pieceSkillMap.json:175901/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/175900/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	72	A	仅日文字形/繁简规范	medium	仅“瀕”字形残留；保留技能等级、濒死触发语义及两条ID的一致性。	False	""
攻击力降低[XⅡ](敌単/1T) & 防御力提升[Ⅵ](自身/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:179400/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/179400/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	73	A	仅日文字形/繁简规范	high	“敌単”是单体范围标记；仅规范该字形，绝不能改成敌全，保留XⅡ、1T和自身增益。	False	""
攻击力降低[XⅢ](敌単/1T) & 防御力提升[Ⅶ](自身/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:179401/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/179401/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	74	A	仅日文字形/繁简规范	high	“敌単”是单体范围标记；与上一等级成对，保留XⅢ、1T及自身增益等级。	False	""
攻击力降低[Ⅱ] & 状态異常耐性DOWN[Ⅱ](敌全/3T)	2	pieceSkillMap.json	shortDescription	pieceSkillMap.json:156600/shortDescription | pieceSkillMap.json:156601/shortDescription	0.95	scan=opencc_t2s_difference,japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | japanese_marker_chars=異 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/156600/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	75	A	仅日文字形/繁简规范	high	仅异常状态术语的日文字形残留；保留DOWN、等级、敌全/3T和两条ID一致性。	False	""
攻击力降低[Ⅲ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:164000/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/164000/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	76	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；保留攻击降低等级、防御提升等级、自身/1T。	False	""
攻击力降低[Ⅳ] & 防御力降低[Ⅳ](敌単/1T) & HP自动回复[Ⅲ](自身/3T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:131200/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/131200/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	77	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；三段效果、各等级、1T/3T及自身范围均不得漂移。	False	""
攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:160000/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/160000/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	78	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；保留双减益同级及1T。	False	""
攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T) & HP自动回复[Ⅳ](自身/3T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:131201/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/131201/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	79	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；保留双减益、HP回复、1T/3T。	False	""
攻击力降低[Ⅴ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:164001/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/164001/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	80	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；与同技能低一级记录保持递进关系。	False	""
攻击力降低[Ⅵ] & 防御力降低[Ⅵ](敌単/1T)	1	pieceSkillMap.json	shortDescription	pieceSkillMap.json:160001/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=単 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/160001/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	81	A	仅日文字形/繁简规范	high	“敌単”明确为敌方单体；保留双减益等级和1T。	False	""
时女一族編 10話	1	sectionList.json	title	sectionList.json:102931/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102931/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	82	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 1話	1	sectionList.json	title	sectionList.json:102922/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102922/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	83	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 2話	1	sectionList.json	title	sectionList.json:102923/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102923/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	84	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 3話	1	sectionList.json	title	sectionList.json:102924/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102924/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	85	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 4話	1	sectionList.json	title	sectionList.json:102925/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102925/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	86	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 5話	1	sectionList.json	title	sectionList.json:102926/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102926/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	87	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 6話	1	sectionList.json	title	sectionList.json:102927/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102927/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	88	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 7話	1	sectionList.json	title	sectionList.json:102928/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102928/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	89	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 8話	1	sectionList.json	title	sectionList.json:102929/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102929/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	90	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女一族編 9話	1	sectionList.json	title	sectionList.json:102930/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102930/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	91	B	中日混写，需语义翻译	high	时女一族的连续10话章节标签；“編/話”需按中文章节格式处理，保持1—10顺序及人物/章节键不串项。	True	系列章节序号标题；需按 Wiki 核定“时女一族編”固定名称与“話”格式。
时女拾遺物語	1	itemList.json	shortDescription	itemList.json:HOME_EV_1154_50083/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/HOME_EV_1154_50083/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	92	C	专名，须查Wiki	high	活动/背景专名；与兑换道具、背景name和description共用同一Wiki核验结果。	True	活动／主页背景标题；应与同名兑换道具和背景条目的 Wiki 定名统一。
